module_id,safe_folder,lesson_id,lesson_title,grades,competencies,slug
Finding_Success_With_Goals_G4_v2,Finding_Success_With_Goals_G4_v2,3378,Finding Success with Goals,Grade 4,self management,rm_finding_success_with_goals
Finding_Ways_To_Get_Along_UPDATED_v2,Finding_Ways_To_Get_Along_UPDATED_v2,9365,Finding Ways to Get Along With Everyone,Grade 3,social awareness,rm_finding_ways_to_get_along_with_everyone
Friends_Can_Be_Different_GK_2023,Friends_Can_Be_Different_GK_2023,3594,Friends Can Be Different,Grade K,relationship skills,rm_friends_can_be_different
Friendship_is_a_Two_Way_Street_G2,Friendship_is_a_Two_Way_Street_G2,3605,Friendship is a Two-Way Street,Grade 2,relationship skills,rm_friendship_is_a_twoway_street
Friendships_Can_Be_Tough_G4_2023_V2,Friendships_Can_Be_Tough_G4_2023_V2,3348,Friendships Can Be Tough,Grade 4,relationship skills,rm_friendships_can_be_tough
Friendships_Can_Change_V092523,Friendships_Can_Change_V092523,3493,Friendships Can Change,Grade 5,social awareness,rm_friendships_can_change
Get_It_All_Together_G3_2023,Get_It_All_Together_G3_2023,7988,Get It All Together!,Grade 3,self management,rm_get_it_all_together
Get_Outside_and_Play_G3_2023,Get_Outside_and_Play_G3_2023,5946,Get Outside and Play!,Grade 3,self management,rm_get_outside_and_play
Give_Me_a_Break_G3_2023,Give_Me_a_Break_G3_2023,7751,Give Me a Break!,Grade 3,self management,rm_give_me_a_break_
Go_the_Extra_Mile_and_Make_Your_Teacher_Smile_G1_2023,Go_the_Extra_Mile_and_Make_Your_Teacher_Smile_G1_2023,9247,Go the Extra Mile and Make Your Teacher Smile! Be Kind!,Grade 1,social awareness,rm_go_the_extra_mile_and_make_your_teacher_smile_be_kind
Going_Full_Throttle_G7_2023,Going_Full_Throttle_G7_2023,2010,Going Full Throttle: Recognizing How Emotions Fill Up or Empty Our Fuel Tanks,Grade 7,self awareness,rm_going_full_throttle_recognizing_how_emotions_fill_up_or_empty_our_fuel_tanks
Good_Sportsmanship_6_2023,Good_Sportsmanship_6_2023,1834,Good Sportsmanship,Grade 6,relationship skills,rm_good_sportsmanship
GOOOAAALLS_G1_2023_V2,GOOOAAALLS_G1_2023_V2,25874,GOOOAAALLS!,Grade 1,self management,goooaaalls_1_1
Handle_Your_Anger_2023,Handle_Your_Anger_2023,5242,Handle Your Anger,Grade 3,self management,rm_handle_your_anger
Handling_Compromise_2023,Handling_Compromise_2023,9028,Handling Compromise - Finding a Win-Win Solution,Grade 5,relationship skills,rm_handling_compromise_finding_a_winwin_solution
Helping_Out_at_Home_2023,Helping_Out_at_Home_2023,5268,Helping Out at Home &amp; Listening to Your Parents,Grade 8,responsible decision making,rm_helping_out_at_home
High_School_is_Coming_G8_2023_v092523,High_School_is_Coming_G8_2023_v092523,6419,High School is Coming!,Grade 8,social awareness,rm_high_school_is_coming
How_Can_I_Help_My_Friend_G4_2023,How_Can_I_Help_My_Friend_G4_2023,6385,How Can I Help My Friend?,Grade 4,social awareness,rm_how_can_i_help_my_friend
How_Can_I_Help_My_School_CommunityG2_2023,How_Can_I_Help_My_School_CommunityG2_2023,9273,How Can I Help My School Community,Grade 2,social awareness,rm_how_can_i_help_my_school_community
How_Can_I_Keep_My_Classroom_Peaceful_G2_2023,How_Can_I_Keep_My_Classroom_Peaceful_G2_2023,9327,How Can I Keep My Classroom Peaceful,Grade 2,social awareness,rm_how_can_i_keep_my_classroom_peaceful
How_Can_I_Safely_Express_My_Strong_Feelings_GK_2023,How_Can_I_Safely_Express_My_Strong_Feelings_GK_2023,8763,How Can I Safely Express my Strong Feelings?,Grade K,self management,rm_how_can_i_safely_express_my_strong_feelings
How_Can_I_Safely_Express_My_Strong_Feelings_GK_2023,How_Can_I_Safely_Express_My_Strong_Feelings_GK_2023,10127,How can I safely express my strong feelings?,Preschool,self management,how_can_i_safely_express_my_strong_feelings_1
How_Much_Should_I_Trust_My_Friend_2023,How_Much_Should_I_Trust_My_Friend_2023,3788,How Much Should I Trust My Friend?,Grade 8,relationship skills,rm_how_much_should_i_trust_my_friend
How_My_Body_Tells_Me_When_I_Am_Mad_GK_2023,How_My_Body_Tells_Me_When_I_Am_Mad_GK_2023,8787,How My Body Tells Me When I Am Mad,Grade K,self awareness,rm_how_my_body_tells_me_when_i_am_mad
How_My_Body_Tells_Me_When_I_Am_Mad_GK_2023,How_My_Body_Tells_Me_When_I_Am_Mad_GK_2023,10132,How my body tells me when I am mad,Preschool,self awareness,how_my_body_tells_me_when_i_am_mad_1
How_to_Apologize_2023,How_to_Apologize_2023,8769,How to Apologize: Be an &#039;I&#039;m Sorry&#039; Superstar,Grade K,social awareness,rm_how_to_apologize_be_an_im_sorry_superstar
How_to_Be_a_True_Friend_2023,How_to_Be_a_True_Friend_2023,9048,How to Be a True Friend,Grade 5,relationship skills,rm_how_to_be_a_true_friend
How_to_Be_aGood_Friend_2023_V103023,How_to_Be_aGood_Friend_2023_V103023,8722,How to Be a Good Friend,Grade K,relationship skills,rm_how_to_be_a_good_friend
How_to_Be_Responsible_Student_G2_2023,How_to_Be_Responsible_Student_G2_2023,7972,How to Be a Responsible Student,Grade 2,responsible decision making,rm_how_to_be_a_responsible_student
