page,title,nid,file_id,filename,alt,uses_elsewhere,confidence,why,src
"/federalprograms/resources","Federal Programs Resources","","31050","FP Banner.png","Federal Programs Banner","1","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/FP%20Banner.png"
"/federalprograms/resources","Federal Programs Resources","","31454","FP - Resources.png","Federal Program Resources Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/FP%20-%20Resources.png"
"/funding","Funding","","41197","School Finance - Funding Website Banner.png","Funding Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/School%20Finance%20-%20Funding%20Website%20Banner.png"
"/funding/accounting/guidance","Budgets & Guidance","","40859","School Finance - Budgets & Guidance Web Banner .png","School Finance Budgets Web Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/School%20Finance%20-%20Budgets%20%26%20Guidance%20Web%20Banner%20.png"
"/funding/accounting/handbook","Model Chart of Accounts","","41167","School Finance - Budgets & Accounting - Model Charts of Accounts Web Banner.png","Model Charts of Accounts Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/School%20Finance%20-%20Budgets%20%26%20Accounting%20-%20Model%20Charts%20of%20Accounts%20Web%20Banner.png"
"/funding/contact","School Finance Contact","","47473","Contact Us Website Banner.png","Contact Us banner","12","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Contact%20Us%20Website%20Banner.png"
"/funding/gpa","School Funding - General Purpose Aid (GPA)","","41199","School Finance - General Purpose Aid Website Banner.png","General Purpose Aid Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/School%20Finance%20-%20General%20Purpose%20Aid%20Website%20Banner.png"
"/funding/gpa/debtservice","Debt Service Wire Transfer Information","","44939","School Finance - Debt Service Wire Transfer Information Banner.png","Debt Service Wire Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/School%20Finance%20-%20Debt%20Service%20Wire%20Transfer%20Information%20Banner.png"
"/funding/gpa/eps/23-24","FY 2023-24 Funding Details","","40917","School Finance - General Purpose Aid Funding Details Web Banner.png","School Finance GPA Funding Details","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/School%20Finance%20-%20General%20Purpose%20Aid%20Funding%20Details%20Web%20Banner.png"
"/funding/gpa/eps/msmv","Maine State Municipal Valuations","","43653","School Finance - Municipal Valuations Website Banner.png","Web Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/School%20Finance%20-%20Municipal%20Valuations%20Website%20Banner.png"
"/funding/gpa/eps/resources","Essential Programs & Services (EPS) Resources","","41189","School Finance - General Purpose Aid - Essential Programs Resources Website Banner.png","EPS Resources Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/School%20Finance%20-%20General%20Purpose%20Aid%20-%20Essential%20Programs%20Resources%20Website%20Banner.png"
